CLIENT_SUBCATEGORY,CLIENT_CATEGORY,GDW_SUBCAT,GDW_CAT,DIRECT_INDIRECT,INDUSTRY,SUM(TOTAL_AMOUNT)
COATING & FINISHING,"MFG, ENG & QUALITY SERVICES",PAINTING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Manufacturing,71502971.26
COURIER SERVICES,TRANSPORTATION & LOGISTICS,COURIER SERVICES,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Manufacturing,513796918.8
CUSTOMER LOYALTY PROGRAMS,MARKETING,PROMOTIONS & CUSTOMER LOYALTY,MARKETING,INDIRECT,Manufacturing,1240373.533
WORKER'S COMPENSATION INSURANCE,"HR, INSURANCE & BENEFITS",WORKERS COMPENSATION INSURANCE,CORPORATE,INDIRECT,Manufacturing,23673242.04
Taxes,Taxes & Government Fees,TAXES & FEES,UNADDRESSABLE,UNADDRESSABLE,Media,7924791462
Wireless Services,Telecom & Network Services,WIRELESS,INFORMATION TECHNOLOGY,INDIRECT,Media,310364872.1
Postage & Postage Equipment,Office Operations,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Media,33270695.49
Landscaping & Snow Removal,Facility Services,LANDSCAPING & SNOW REMOVAL,REAL ESTATE & FACILITIES,,Media,12562555.01
Building Materials,Set Design Construction & Materials,BUILDING MATERIALS,MRO,DIRECT,Media,47249935.03
Media Planning & Buying Agencies,Advertising / Media,MEDIA BUYING & PLANNING,MARKETING,INDIRECT,Media,12382109169
Background Checks & Drug Testing,HR Services,BACKGROUND CHECKS & DRUG TESTING,HR,,Media,23981659.5
Petty Cash,Finance Charges,PETTY CASH,UNADDRESSABLE,UNADDRESSABLE,Media,10603785.31
4PL / Control Tower,Shipping & Logistics,THIRD PARTY LOGISTICS (3PL),TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Media,1986974.828
Cleaning Supplies,MRO Supplies,JANITORIAL SUPPLIES,MRO,INDIRECT,Media,10322632.67
Onsite Clinic,Facility Services,ON-SITE CLINIC,HR,INDIRECT,Media,35974266.64
TOLLS,TRAVEL & EXPENSE,TOLLS,TRAVEL,INDIRECT,Business Services,6963585.274
PACKAGING SUPPLIES,PACKAGING PRODUCTS,PACKAGING SUPPLIES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Business Services,309094569.9
TRUCKLOAD,TRANSPORTATION & LOGISTICS,TRUCKLOAD,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Business Services,481025778.8
LABELS,PACKAGING PRODUCTS,LABELS,PRINT,LOGISTICS & PACKAGING,Business Services,43781638
ERP,INFORMATION TECHNOLOGY,ERP,INFORMATION TECHNOLOGY,INDIRECT,Business Services,243462493.8
WAREHOUSING,TRANSPORTATION & LOGISTICS,WAREHOUSING,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Business Services,49127226.37
SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,174939517.4
AUTO RENTAL,TRAVEL,AUTO RENTAL,TRAVEL,INDIRECT,Food and Beverage,17366514.67
HANGERS,PROCESSING SUPPLIES & SERVICES,STORE SUPPLIES,STORE OPERATIONS,INDIRECT,Food and Beverage,48766303.72
PRINTING & SHIPPING CENTER,CORPORATE,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Food and Beverage,995895.0628
PROFESSIONAL ASSOCIATIONS,CORPORATE,MEMBERSHIPS,CORPORATE,INDIRECT,Food and Beverage,8771537.287
OUTPLACEMENT SERVICES,HR,OUTPLACEMENT SERVICES,HR,,Food and Beverage,2390889.582
SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,30388133.78
LIGHTING,MRO,LIGHTING,MRO,INDIRECT,Food and Beverage,394320.2499
YEAST,"FOOD, BEVERAGE, & NUTRITION",DRY GOODS,FOOD AND INGREDIENTS,DIRECT,Pharmaceuticals,1412536.75
EQUIPMENT MAINTENANCE & REPAIR,MRO,EQUIPMENT MAINTENANCE & REPAIR,MRO,INDIRECT,Pharmaceuticals,66250734.11
CO-OP ADVERTISING,MARKETING,CO-OP ADVERTISING,MARKETING,INDIRECT,Pharmaceuticals,16729080.36
TAXES & FEES,UNADDRESSABLE,TAXES & FEES,UNADDRESSABLE,,Pharmaceuticals,265656504.6
