,CATEGORY L2,CATEGORY L3,DEFINITION
BANKING SERVICES,BANKING SERVICES,APPRAISALS,Companies through which mortgage lenders order real estate valuation services for properties on which they are considering extending loans
BANKING SERVICES,BANKING SERVICES,ARMORED TRANSPORT,"Secure transport of cash, typically used by retailers, restaurants, and financial institutions"
BANKING SERVICES,BANKING SERVICES,AUTO LENDING SERVICES,"Companies that provide end-to-end solutions for origination, contracting and auto title management"
BANKING SERVICES,BANKING SERVICES,BANKING EQUIPMENT & MAINTENANCE,"Providers of equipment (e.g., ATMs, Vaults, Security Systems) used to outfit a bank branch and/or remote ATM site"
BANKING SERVICES,BANKING SERVICES,FINANCIAL PRINT,Vendors pricing statement and letter printing and fulfillment services
BANKING SERVICES,BANKING SERVICES,FINANCIAL TECHNOLOGY SERVICES,"Companies offering core banking and payment/data processing solutions; often deliver broad portfolio of products and services "
BANKING SERVICES,BANKING SERVICES,FUND SERVICES,"Vendors supporting trade capture, fund and partnership accounting, financial statement preparation and reconciliations."
BANKING SERVICES,BANKING SERVICES,MORTGAGE SERVICES,"Companies providing technology, services, data and analytics focused on mortgage and real estate industries"
BANKING SERVICES,BANKING SERVICES,SETTLEMENT & CLEARING,Specialized organizations that act as the intermediary in transfer of funds to a seller and securities to a buyer; vendor assumes the role of tacit buyer and seller to reconcile orders between transacting parties.
BANKING SERVICES,BANKING SERVICES,SETTLEMENT ADMINISTRATION,Neutral third-parties that handle the claims administration process in compliance with court-approved settlement agreements
BANKING SERVICES,BANKING SERVICES,TITLE SERVICES,"Providers of title insurance, underwriting, escrow and closing services to lenders"
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,ARCHITECTURE & INTERIOR DESIGN,Architectural services for the company's buildings and property Interior design services for the company's office space
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,BUILDING CONSTRUCTION,"Building construction and repair services - does not include mechanical contractors, electricians, or plumbers"
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,CONSTRUCTION PROJECT MANAGEMENT,Construction management services
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,ENGINEERING CONSTRUCTION SERVICES,Construction design engineering services
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,FABRICATION & WELDING,"Services that involve cutting, "
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,FENCING,Fencing
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,FLOORING,Flooring services and supplies for new constructions or repairs
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,PARKING LOT / PAVING,"Parking lot paving, repair, and painting services"
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,PIPING & MILLWRIGHT,Contractors providing facility contruction services specialized in piping and millwright
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,PROJECT PERMITTING,"Services that help get and maintain construction project permits  "
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,STRUCTURED CABLING,"Low voltage electrical service "
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,MEP CONSTRUCTION SERVICES,"MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building’s operational integrity and occupant comfort."
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,SITEWORK CONSTRUCTION,"Sitework construction refers to the preparation of a construction site before building begins. It includes grading, excavation, soil stabilization, drainage installation, and utility connections such as water, gas, and sewer systems. Sitework also involves the construction of access roads, parking areas, and erosion control systems. The goal is to create a safe, stable, and functional foundation for subsequent construction activities while complying with environmental and regulatory standards."
CONSTRUCTION & EQUIPMENT,CONSTRUCTION SERVICES,STRUCTURAL METALS,"Structural metals encompass materials such as steel, aluminum, and iron used to build frameworks, supports, and load-bearing structures in buildings, bridges, and industrial facilities. Services in this category include fabrication, welding, cutting, and installation of beams, columns, and trusses. Structural metalwork ensures the integrity, durability, and safety of the overall structure. It is essential in both commercial and infrastructure projects, often customized to meet specific engineering and design requirements."
CONSTRUCTION & EQUIPMENT,EQUIPMENT,CONVEYORS & SORTATION,Machinery utilized to move raw materials and products throughout a warehouse or manufacturing facility
CONSTRUCTION & EQUIPMENT,EQUIPMENT,EQUIPMENT,"Purchasing new industrial machines, may require financing. Not Office Equipment, Furniture, Vehicles or IT equipment. This includes capital leases"
CONSTRUCTION & EQUIPMENT,EQUIPMENT,INDUSTRIAL CLEANING EQUIPMENT,Equipment utilized specifically to clean dirty or hazardous areas of industrial facilities
CONSTRUCTION & EQUIPMENT,EQUIPMENT,PACKAGING EQUIPMENT,"Box erectors, palletizers, pack-size machines that make custom boxes"
CORPORATE,CORPORATE INSURANCE,CORPORATE INSURANCE,"Property, liability and other insurance utilized by large organizations to protect against various financial and operational risks."
CORPORATE,CORPORATE INSURANCE,DIRECTORS & OFFICERS INSURANCE,Liability insurance designed to protect individuals and against personal losses and legal fees if they are sued while serving as a director or officer of a business
CORPORATE,CORPORATE INSURANCE,ERRORS & OMISSIONS INSURANCE,Professional liability insurance protecting companies and workers against claims of inadequate work in a professional capacity
CORPORATE,CORPORATE INSURANCE,PROPERTY & CASUALTY INSURANCE,"Insurance protecting against loss of property, damage, or other liabilities"
