DATA_SOURCE,L1,L2,L3,GDW_SUBCATEGORY
ZALANDO,(Corporate) Property,Facility Management,Canteen Services,0
ZALANDO,(Corporate) Property,Facility Management,Cleaning Services and goods,0
ZALANDO,(Corporate) Property,Facility Management,Maintenance Services,0
ZALANDO,(Corporate) Property,Facility Management,Other FM services and goods,0
ZALANDO,(Corporate) Property,Facility Management,Security Goods,0
ZALANDO,(Corporate) Property,Facility Management,Security Services,0
ZALANDO,(Corporate) Property,Real Estate,"Architecture, interior design and project management service",0
ZALANDO,(Corporate) Property,Real Estate,Construction Material (w/o services),0
ZALANDO,(Corporate) Property,Real Estate,Construction Works (300),0
ZALANDO,(Corporate) Property,Real Estate,Infrastructure Appraisal/Inspections,0
ZALANDO,(Corporate) Property,Real Estate,MEP Other Works,0
ZALANDO,(Corporate) Property,Real Estate,MEP Works Electric (440),0
ZALANDO,(Corporate) Property,Real Estate,MEP Works HVAC ventilation (430),0
ZALANDO,(Corporate) Property,Real Estate,MEP Works Sprinkler (470),0
ZALANDO,(Corporate) Property,Rent (incl. auxiliary expenses),Event Location rent,0
ZALANDO,(Corporate) Property,Rent (incl. auxiliary expenses),Office Rent,0
ZALANDO,(Corporate) Property,Rent (incl. auxiliary expenses),Other Rent,0
ZALANDO,(Corporate) Property,Rent (incl. auxiliary expenses),Residential Rent,0
ZALANDO,(Corporate) Property,Rent (incl. auxiliary expenses),Shop/Outlet/Showroom Rent,0
ZALANDO,(Corporate) Property,Rent (incl. auxiliary expenses),Warehouse Rent,0
ZALANDO,(Corporate) Property,Utilities,Carbon Offsetting,0
ZALANDO,(Corporate) Property,Utilities,Electricity,0
ZALANDO,(Corporate) Property,Utilities,Gas,0
ZALANDO,(Corporate) Property,Utilities,Other Utility Expenses,0
ZALANDO,(Corporate) Property,Utilities,Regulatory waste/recycling fees,0
ZALANDO,(Corporate) Property,Utilities,Waste disposal/recycling,0
ZALANDO,Employee Services,Building furnishing,Office Furniture,0
ZALANDO,Employee Services,Building furnishing,Other Building Furnishing,0
ZALANDO,Employee Services,Business Travel & Fleet Management,"Local Transport (Taxi, public transport, shuttle)",0
ZALANDO,Employee Services,Business Travel & Fleet Management,Other Fleetmanagement,0
ZALANDO,Employee Services,Business Travel & Fleet Management,Rental cars,0
ZALANDO,Employee Services,Business Travel & Fleet Management,Travel agencies and systems,0
ZALANDO,Employee Services,Business Travel & Fleet Management,Vehicle leasing,0
ZALANDO,Employee Services,Food & Drinks,Food & Drink Consumables,0
ZALANDO,Employee Services,Food & Drinks,Food & Drink Equipment,0
ZALANDO,Employee Services,Health & Safety,Health & Safety Equipment,0
ZALANDO,Employee Services,Health & Safety,Health & Safety Services,0
ZALANDO,Employee Services,Health & Safety,Workwear & PPE,0
ZALANDO,Employee Services,Industrial Consumables,C Parts,0
ZALANDO,Employee Services,Industrial Consumables,Tools,0
ZALANDO,Employee Services,Learning & Development services,Coaching,0
ZALANDO,Employee Services,Learning & Development services,Training,0
ZALANDO,Employee Services,Office supplies,Other office supplies,0
ZALANDO,Employee Services,Office supplies,Postage,0
ZALANDO,Employee Services,Office supplies,Stationery,0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Goods,"Computers, screens, phones, media equipment",0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Goods,IT supplies,0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Goods,"Printers, copiers, scanners and consumables",0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Goods,"Servers, storages, network components",0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Services,Data Centre / Colocation Services,0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Services,Device as a Service (DaaS),0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Services,"IT Hardware Maintenance, services and repairs",0
ZALANDO,IT Hardware,IT Hardware & Infrastructure Services,Platform / Infrastructure as a Service (PaaS / IaaS),0
ZALANDO,IT Hardware,"Telephony, Data Lines & Communication Services",Data lines,0
ZALANDO,IT Hardware,"Telephony, Data Lines & Communication Services",Landline telephony,0
ZALANDO,IT Hardware,"Telephony, Data Lines & Communication Services",Mobile connectivity,0
ZALANDO,IT Hardware,"Telephony, Data Lines & Communication Services",One time network connection cost,0
ZALANDO,Media & Marketing,Content Production,External Content Creation,0
ZALANDO,Media & Marketing,Content Production,Other Content Production,0
ZALANDO,Media & Marketing,Content Production,Production Equipment,0
ZALANDO,Media & Marketing,Content Production,Production Location,0
ZALANDO,Media & Marketing,Creative Agencies & Campaign Production,,0
ZALANDO,Media & Marketing,Event Management,Event Catering,0
ZALANDO,Media & Marketing,Event Management,Event Locations,0
ZALANDO,Media & Marketing,Event Management,Event Management & Production Services,0
ZALANDO,Media & Marketing,Event Management,Internal Events,0
ZALANDO,Media & Marketing,Event Management,Other event services,0
ZALANDO,Media & Marketing,Event Management,Technical Event Equipment,0
ZALANDO,Media & Marketing,External Workforce - Art Buying,Celebrities & Actors,0
ZALANDO,Media & Marketing,External Workforce - Art Buying,Hair & Make up,0
ZALANDO,Media & Marketing,External Workforce - Art Buying,Models,0
ZALANDO,Media & Marketing,External Workforce - Art Buying,Other Art Buying,0
ZALANDO,Media & Marketing,External Workforce - Art Buying,Photographers,0
ZALANDO,Media & Marketing,External Workforce - Art Buying,Stylists,0
ZALANDO,Media & Marketing,Influencer Marketing,,0
ZALANDO,Media & Marketing,Media Buying Offline,D(OOH),0
ZALANDO,Media & Marketing,Media Buying Offline,Digital Radio,0
ZALANDO,Media & Marketing,Media Buying Offline,Digital TV,0
ZALANDO,Media & Marketing,Media Buying Offline,Other Media Buying Offline,0
ZALANDO,Media & Marketing,Media Buying Offline,Print Ads,0
ZALANDO,Media & Marketing,Media Buying Offline,Radio,0
ZALANDO,Media & Marketing,Media Buying Offline,TV,0
ZALANDO,Media & Marketing,Media Buying Online,Affiliate,0
ZALANDO,Media & Marketing,Media Buying Online,Direct Deals,0
