target_l1,target_l2,target_l3,matched_l2,matched_l3,confidence,method_used,top_3_candidates,reasoning
(Corporate) Property,Facility Management,Canteen Services,FOOD SERVICES,FOOD SERVICES,0.6786419930097619,similarity_search,"[{""l2"": ""FOOD SERVICES"", ""l3"": ""FOOD SERVICES"", ""score"": 0.0, ""definition"": ""Food service management services focused on corporate cafeterias or in office catering""}, {""l2"": ""FOOD SERVICES"", ""l3"": ""BREAKROOM SERVICES"", ""score"": 0.0, ""definition"": ""Food service management services specific to coffee and break room services, not cafeteria""}, {""l2"": ""FACILITY SERVICES"", ""l3"": ""INTEGRATED FACILITIES MANAGEMENT"", ""score"": 0.0, ""definition"": ""Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc""}]",Food service management services focused on corporate cafeterias or in office catering
(Corporate) Property,Facility Management,Cleaning Services and goods,JANITORIAL SERVICES,JANITORIAL SERVICES,0.6319715976715132,similarity_search,"[{""l2"": ""JANITORIAL SERVICES"", ""l3"": ""JANITORIAL SERVICES"", ""score"": 0.0, ""definition"": ""Facility cleaning and janitorial services""}, {""l2"": ""FACILITY SERVICES"", ""l3"": ""INTEGRATED FACILITIES MANAGEMENT"", ""score"": 0.0, ""definition"": ""Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc""}, {""l2"": ""FACILITY SERVICES"", ""l3"": ""INDUSTRIAL CLEANING"", ""score"": 0.0, ""definition"": ""Industrial cleaning services specialize in the removal of contaminants, dust, and waste from manufacturing plants, warehouses, and production facilities. Techniques may include high-pressure washing, vacuuming, degreasing, and hazardous waste handling. These services ensure safety, hygiene, and regulatory compliance (OSHA, EPA). Providers use specialized equipment and trained personnel to maintain operational efficiency and reduce downtime in industrial environments.""}]",Facility cleaning and janitorial services
(Corporate) Property,Facility Management,Maintenance Services,FACILITY SERVICES,INTEGRATED FACILITIES MANAGEMENT,0.6815312707880521,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""INTEGRATED FACILITIES MANAGEMENT"", ""score"": 0.0, ""definition"": ""Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""BUILDING REPAIR & MAINTENANCE"", ""score"": 0.0, ""definition"": ""Repair and maintenance services""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""BUILDING MANAGEMENT SYSTEM"", ""score"": 0.0, ""definition"": ""System associated with managing building maintenance""}]","Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc"
(Corporate) Property,Facility Management,Other FM services and goods,FACILITY SERVICES,INTEGRATED FACILITIES MANAGEMENT,0.6558327264586372,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""INTEGRATED FACILITIES MANAGEMENT"", ""score"": 0.0, ""definition"": ""Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc""}, {""l2"": ""FACILITY SERVICES"", ""l3"": ""FACILITY / PROPERTY RENT"", ""score"": 0.0, ""definition"": ""Facility and property lease and rental payments""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""SUNDRIES"", ""score"": 0.0, ""definition"": ""General goods purchased for office use""}]","Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc"
(Corporate) Property,Facility Management,Security Goods,SECURITY,SECURITY PERSONNEL,0.5701052290263918,similarity_search,"[{""l2"": ""SECURITY"", ""l3"": ""SECURITY PERSONNEL"", ""score"": 0.0, ""definition"": ""Security guards and personnel""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""SUNDRIES"", ""score"": 0.0, ""definition"": ""General goods purchased for office use""}, {""l2"": ""SECURITY"", ""l3"": ""ELECTRONIC SECURITY"", ""score"": 0.0, ""definition"": ""Installation and repair of security products (access control, video surveillance, etc.)""}]",Security guards and personnel
(Corporate) Property,Facility Management,Security Services,FACILITY SERVICES,INTEGRATED FACILITIES MANAGEMENT,0.6283728071562296,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""INTEGRATED FACILITIES MANAGEMENT"", ""score"": 0.0, ""definition"": ""Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc""}, {""l2"": ""SECURITY"", ""l3"": ""SECURITY PERSONNEL"", ""score"": 0.0, ""definition"": ""Security guards and personnel""}, {""l2"": ""FACILITY SERVICES"", ""l3"": ""LOCKSMITH"", ""score"": 0.0, ""definition"": ""Lock and key services""}]","Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc"
(Corporate) Property,Real Estate,"Architecture, interior design and project management service",CONSTRUCTION SERVICES,ARCHITECTURE & INTERIOR DESIGN,0.7017465265166662,similarity_search,"[{""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""ARCHITECTURE & INTERIOR DESIGN"", ""score"": 0.0, ""definition"": ""Architectural services for the company's buildings and property Interior design services for the company's office space""}, {""l2"": ""REAL ESTATE SERVICES"", ""l3"": ""PROPERTY MANAGEMENT"", ""score"": 0.0, ""definition"": ""Third party property management service""}, {""l2"": ""REAL ESTATE SERVICES"", ""l3"": ""REAL ESTATE SERVICES"", ""score"": 0.0, ""definition"": ""Professional services focused on purchasing, renting, or selling properties - usually services are outsourced to real estate agents""}]",Architectural services for the company's buildings and property Interior design services for the company's office space
(Corporate) Property,Real Estate,Construction Material (w/o services),CONSTRUCTION SERVICES,BUILDING CONSTRUCTION,0.5235874596625663,similarity_search,"[{""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""BUILDING CONSTRUCTION"", ""score"": 0.0, ""definition"": ""Building construction and repair services - does not include mechanical contractors, electricians, or plumbers""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""SUNDRIES"", ""score"": 0.0, ""definition"": ""General goods purchased for office use""}, {""l2"": ""CORPORATE INSURANCE"", ""l3"": ""PROPERTY & CASUALTY INSURANCE"", ""score"": 0.0, ""definition"": ""Insurance protecting against loss of property, damage, or other liabilities""}]","Building construction and repair services - does not include mechanical contractors, electricians, or plumbers"
(Corporate) Property,Real Estate,Construction Works (300),CONSTRUCTION SERVICES,ARCHITECTURE & INTERIOR DESIGN,0.5064853723951961,similarity_search,"[{""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""ARCHITECTURE & INTERIOR DESIGN"", ""score"": 0.0, ""definition"": ""Architectural services for the company's buildings and property Interior design services for the company's office space""}, {""l2"": ""CORPORATE INSURANCE"", ""l3"": ""CORPORATE INSURANCE"", ""score"": 0.0, ""definition"": ""Property, liability and other insurance utilized by large organizations to protect against various financial and operational risks.""}, {""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""BUILDING CONSTRUCTION"", ""score"": 0.0, ""definition"": ""Building construction and repair services - does not include mechanical contractors, electricians, or plumbers""}]",Architectural services for the company's buildings and property Interior design services for the company's office space
(Corporate) Property,Real Estate,Infrastructure Appraisal/Inspections,BANKING SERVICES,APPRAISALS,0.5200973749160767,similarity_search,"[{""l2"": ""BANKING SERVICES"", ""l3"": ""APPRAISALS"", ""score"": 0.0, ""definition"": ""Companies through which mortgage lenders order real estate valuation services for properties on which they are considering extending loans""}, {""l2"": ""CORPORATE INSURANCE"", ""l3"": ""CORPORATE INSURANCE"", ""score"": 0.0, ""definition"": ""Property, liability and other insurance utilized by large organizations to protect against various financial and operational risks.""}, {""l2"": ""CORPORATE INSURANCE"", ""l3"": ""PROPERTY & CASUALTY INSURANCE"", ""score"": 0.0, ""definition"": ""Insurance protecting against loss of property, damage, or other liabilities""}]",Companies through which mortgage lenders order real estate valuation services for properties on which they are considering extending loans
