CATEGORY L1,CATEGORY L2,CATEGORY L3,GDW_SUBCATEGORY
(Corporate) Property,Facility Management,Canteen Services,FOOD SERVICES
(Corporate) Property,Facility Management,Cleaning Services and goods,JANITORIAL SERVICES
(Corporate) Property,Facility Management,Maintenance Services,INTEGRATED FACILITIES MANAGEMENT
(Corporate) Property,Facility Management,Other FM services and goods,INTEGRATED FACILITIES MANAGEMENT
(Corporate) Property,Facility Management,Security Goods,SECURITY PERSONNEL
(Corporate) Property,Facility Management,Security Services,INTEGRATED FACILITIES MANAGEMENT
(Corporate) Property,Real Estate,"Architecture, interior design and project management service",ARCHITECTURE & INTERIOR DESIGN
(Corporate) Property,Real Estate,Construction Material (w/o services),BUILDING CONSTRUCTION
(Corporate) Property,Real Estate,Construction Works (300),ARCHITECTURE & INTERIOR DESIGN
(Corporate) Property,Real Estate,Infrastructure Appraisal/Inspections,APPRAISALS
(Corporate) Property,Real Estate,MEP Other Works,MEP CONSTRUCTION SERVICES
(Corporate) Property,Real Estate,MEP Works Electric (440),MEP CONSTRUCTION SERVICES
(Corporate) Property,Real Estate,MEP Works HVAC ventilation (430),MEP CONSTRUCTION SERVICES
(Corporate) Property,Real Estate,MEP Works Sprinkler (470),FIRE & LIFE SAFETY
(Corporate) Property,Rent (incl. auxiliary expenses),Event Location rent,FACILITY / PROPERTY RENT
(Corporate) Property,Rent (incl. auxiliary expenses),Office Rent,FACILITY / PROPERTY RENT
(Corporate) Property,Rent (incl. auxiliary expenses),Other Rent,FACILITY / PROPERTY RENT
(Corporate) Property,Rent (incl. auxiliary expenses),Residential Rent,FACILITY / PROPERTY RENT
(Corporate) Property,Rent (incl. auxiliary expenses),Shop/Outlet/Showroom Rent,FACILITY / PROPERTY RENT
(Corporate) Property,Rent (incl. auxiliary expenses),Warehouse Rent,FACILITY / PROPERTY RENT
(Corporate) Property,Utilities,Carbon Offsetting,0
(Corporate) Property,Utilities,Electricity,ELECTRICITY
(Corporate) Property,Utilities,Gas,NATURAL GAS
(Corporate) Property,Utilities,Other Utility Expenses,WATER & SEWER
(Corporate) Property,Utilities,Regulatory waste/recycling fees,WASTE DISPOSAL & RECYCLING
(Corporate) Property,Utilities,Waste disposal/recycling,WASTE DISPOSAL & RECYCLING
Employee Services,Building furnishing,Office Furniture,OFFICE FURNITURE
Employee Services,Building furnishing,Other Building Furnishing,OFFICE FURNITURE
Employee Services,Business Travel & Fleet Management,"Local Transport (Taxi, public transport, shuttle)",TAXI / RIDESHARE
Employee Services,Business Travel & Fleet Management,Other Fleetmanagement,FLEET MANAGEMENT & LEASING
Employee Services,Business Travel & Fleet Management,Rental cars,AUTO RENTAL
Employee Services,Business Travel & Fleet Management,Travel agencies and systems,TRAVEL MANAGEMENT
Employee Services,Business Travel & Fleet Management,Vehicle leasing,VEHICLE LEASING / PURCHASE
Employee Services,Food & Drinks,Food & Drink Consumables,STORE SUPPLIES
Employee Services,Food & Drinks,Food & Drink Equipment,KITCHEN EQUIPMENT
Employee Services,Health & Safety,Health & Safety Equipment,INSURANCE & BENEFITS
Employee Services,Health & Safety,Health & Safety Services,INSURANCE & BENEFITS
Employee Services,Health & Safety,Workwear & PPE,SAFETY SUPPLIES
Employee Services,Industrial Consumables,C Parts,OEM PARTS / SPARES
Employee Services,Industrial Consumables,Tools,GENERAL INDUSTRIAL SUPPLIES
Employee Services,Learning & Development services,Coaching,TRAINING & DEVELOPMENT
Employee Services,Learning & Development services,Training,TRAINING & DEVELOPMENT
Employee Services,Office supplies,Other office supplies,SUNDRIES
Employee Services,Office supplies,Postage,POSTAGE & POSTAGE EQUIPMENT
Employee Services,Office supplies,Stationery,STORE SUPPLIES
IT Hardware,IT Hardware & Infrastructure Goods,"Computers, screens, phones, media equipment",PERIPHERALS
IT Hardware,IT Hardware & Infrastructure Goods,IT supplies,HARDWARE COMPONENTS
IT Hardware,IT Hardware & Infrastructure Goods,"Printers, copiers, scanners and consumables",OFFICE EQUIPMENT
IT Hardware,IT Hardware & Infrastructure Goods,"Servers, storages, network components",HARDWARE COMPONENTS
IT Hardware,IT Hardware & Infrastructure Services,Data Centre / Colocation Services,DATA CENTER & COLOCATION
IT Hardware,IT Hardware & Infrastructure Services,Device as a Service (DaaS),IT INFRASTRUCTURE SERVICES
